edit_history_tweet_ids,text,author_id,id,created_at,Unnamed: 0,link,user,likes,quotes,retweets,comments,cleaned_text
['1907469491275182571'],"@grok but most famous youtuber @dhruv_rathee says society judges male when they choose  to be nurse, but he never mentioned this stats of 20:80 reservation in his videos. Neither @dhruv_rathee or FEMINIST organisation raised any voice against this. Ab yeh patriarchy nhi h?",1.87e+18,1.91e+18,2025-04-02T16:25:40.000Z,,,,,,,,famous youtuber says society judges male choose nurse never mentioned stats reservation videos neither feminist organisation raised voice ab yeh patriarchy nhi h
['1907469051393356243'],Patriarchy. Lol! https://t.co/20hBN1qv4K,1.36e+18,1.91e+18,2025-04-02T16:23:55.000Z,,,,,,,,patriarchy lol
['1907468949069103263'],"@BlessedGirl001 Is this idiot by any chance whom you’re talking about?

Those two seem related 

‘Promoter of family values=upholder of patriarchy’ https://t.co/t1EmXiFrVP",1.71e+18,1.91e+18,2025-04-02T16:23:31.000Z,,,,,,,,idiot chance youre talking two seem related promoter family valuesupholder patriarchy
['1907468937601888579'],"Tho I am a strong opponent of patriarchy 

Indian men are far better than men of other nationalities 

And especially Hindu men 

They work hard,study hard,earn well ! 

Understand the responsibilities of being a provider 

And are kind too 

We are fighting against the bad part",1.56e+18,1.91e+18,2025-04-02T16:23:28.000Z,,,,,,,,tho strong opponent patriarchy indian men far better men nationalities especially hindu men work hardstudy hardearn well understand responsibilities provider kind fighting bad part
['1907468885106053316'],@hanavulyric i have empathy for them but i believe religion is forever going to keep you from actually having productive conversations about misogyny and the patriarchy,1.8e+18,1.91e+18,2025-04-02T16:23:15.000Z,,,,,,,,empathy believe religion forever going keep actually productive conversations misogyny patriarchy
['1907468880622285089'],"The most patriarchy thing is when woman said no. They don’t back off. They think woman can easily emotional change. She just shy, she will pick me finally. I said I like you why your bro not back off? I said I’m triggered because of them why your bro won’t stay out of this?",7.67e+17,1.91e+18,2025-04-02T16:23:14.000Z,,,,,,,,patriarchy thing woman said dont back think woman can easily emotional change just shy will pick finally said like bro back said im triggered bro wont stay
['1907468602657353853'],"Republican Feminists Ruin #MAGA Agenda With Proxy Vote Debacle #feminism #congress #news
 
https://t.co/Up55MhnPVQ",9.63e+17,1.91e+18,2025-04-02T16:22:08.000Z,,,,,,,,republican feminists ruin agenda proxy vote debacle
['1907468517173272815'],"You’re my pretty little toy, made to be used and ruined. I’ll fuck you until you’re sobbing, then make you kneel and thank me for it. Retweet if you’d beg for my cruelty. #BDSM #Submissive #Patriarchy #Degradation https://t.co/SRqpD57ZWJ",1.91e+18,1.91e+18,2025-04-02T16:21:48.000Z,,,,,,,,youre pretty little toy made used ruined ill fuck youre sobbing make kneel thank retweet youd beg cruelty
['1907468501453017477'],"@nikadubrovsky @ProfSteveKeen Lovely insights! I think the predominant Western Roman/Abrahamic Worldview of “Might Makes Right”, Patriarchy, &amp; Artificial Cla$$ Hierarchy, is Unbalanced, &amp; needs to evolve. IMHO, as a person w/ a foot in 2 Cultures &amp; as a Female, the root problem is a true lack of connection to",9.68e+17,1.91e+18,2025-04-02T16:21:44.000Z,,,,,,,,lovely insights think predominant western romanabrahamic worldview might makes right patriarchy amp artificial cla hierarchy unbalanced amp needs evolve imho person w foot cultures amp female root problem true lack connection
['1907468393331978322'],"Ibilola Amao on leadership, gender equality, empowering Women in STEM https://t.co/BLn5bEXUpS",1.16e+18,1.91e+18,2025-04-02T16:21:18.000Z,,,,,,,,ibilola amao leadership gender equality empowering women stem
['1907468351628300495'],"Excellent discussion on challenges and solutions for women in leadership and gender equality.
Thank you @raiseeorg for this opportunity, also to talk about Women in Diplomacy Network.
We will and should never stop talking and acting on women empowerment and equal opportunities 💪 https://t.co/Zi9fsQhM5j",1688747935.0,1.91e+18,2025-04-02T16:21:08.000Z,,,,,,,,excellent discussion challenges solutions women leadership gender equality thank opportunity also talk women diplomacy network will never stop talking acting women empowerment equal opportunities
['1907468315158520126'],"@bigdammy_ @nuggetman1_ @yabaleftonline Gender norms evolved from rigid binary roles (male = son, female = daughter) to fluid identities due to mid-20th century shifts. Scholars like Money and Stoller separated gender from biology, while feminist and LGBTQIA movements pushed for flexibility. Today, someone assigned https://t.co/6lfFkcfJix",1.72e+18,1.91e+18,2025-04-02T16:21:00.000Z,,,,,,,,gender norms evolved rigid binary roles male son female daughter fluid identities due midth century shifts scholars like money stoller separated gender biology feminist lgbtqia movements pushed flexibility today someone assigned
['1907468205637120200'],Intersectionality is so relevant in the discussion of gender (in)equality in relationships: him being trasmasc &amp; white vs me being a afrolatinx &amp; agender really accentuated the power imbalance at way too many levels. To this day he believes he’s the victim &amp; I am exaggerating.,93688647.0,1.91e+18,2025-04-02T16:20:33.000Z,,,,,,,,intersectionality relevant discussion gender inequality relationships trasmasc amp white vs afrolatinx amp agender really accentuated power imbalance way many levels day believes hes victim amp exaggerating
['1907468179896475675'],"Ibilola Amao on leadership, gender equality, empowering Women in STEM https://t.co/1RZaymYXKV",1732739510.0,1.91e+18,2025-04-02T16:20:27.000Z,,,,,,,,ibilola amao leadership gender equality empowering women stem
['1907468015840678245'],"...no longer available to them, or increasingly threatened, because the patriarchy is rightly under attack from sensible people of all genders. No longer can these young men expect to be married at a certain age, to have an easily repressible, unquestioning ""angel of the hearth""",1.54e+18,1.91e+18,2025-04-02T16:19:48.000Z,,,,,,,,longer available increasingly threatened patriarchy rightly attack sensible people genders longer can young men expect married certain age easily repressible unquestioning angel hearth
['1907467830494363803'],@TheOldWeirdPro RepubliKlans are still fighting against desegregation. That is why Trump is abolishing DEI. This is racism and sexism for the white male patriarchy. Thank you for calling it out for what it is.,1.23e+18,1.91e+18,2025-04-02T16:19:04.000Z,,,,,,,,republiklans still fighting desegregation trump abolishing dei racism sexism white male patriarchy thank calling
['1907467737485697452'],"#Feminism isn't about hating men - it's about equality. 
The concept of Feminism is often misunderstood leading to restrict the term solely for female's praise. Feminism is not about women being able to dominate men but to have the same rights, opportunities and respect. https://t.co/hQekxjBuBj",1.9e+18,1.91e+18,2025-04-02T16:18:42.000Z,,,,,,,,isnt hating men equality concept feminism often misunderstood leading restrict term solely females praise feminism women able dominate men rights opportunities respect
['1907467561777950906'],"Namtan's work in promoting gender equality in the entertainment industry is making a significant impact.

COSThailand X NAMTAN TIPNAREE  
#COSSS2025xNAMTAN",1.89e+18,1.91e+18,2025-04-02T16:18:00.000Z,,,,,,,,namtans work promoting gender equality entertainment industry making significant impact costhailand x namtan tipnaree
['1907467445390160166'],"@SabyG311 @LaN98 @_takissss @HADdaHustla @Sambodego03 @Raindropsmedia1 I'm talking about societal duties. men have duties, to protect, provide, to lead, becz truth is men are for stronger, and less emotional, and mentally fit to do the job best. yeah women can do some of these things. but men do it for better which is why the patriarchy is good",1.86e+18,1.91e+18,2025-04-02T16:17:32.000Z,,,,,,,,im talking societal duties men duties protect provide lead becz truth men stronger less emotional mentally fit job best yeah women can things men better patriarchy good
['1907467398242054368'],"I really do think that the reason why young men are radicalised and flock to Tate et. al. is because they are socio-culturally conditioned to expect to receive all the benefits of patriarchy as they grow up, but realise as they do grow up that many of those benefits are...",1.54e+18,1.91e+18,2025-04-02T16:17:21.000Z,,,,,,,,really think reason young men radicalised flock tate et al socioculturally conditioned expect receive benefits patriarchy grow realise grow many benefits
